sec,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10
2353.162,42715.758,43090.695,38384.945,45811.762,38577.344,38037.484,45413.613,44217.125,42114.949,32176.158
2363.219,41731.258,41394.203,37288.535,47851.207,38434.547,39114.172,44125.406,44770.5,41718.398,33282.176
2373.275,42619.449,42837.266,37969.145,49920.777,40188.828,36751.473,44519.594,45290.207,41951.199,34002.129
2383.331,42432.648,41080.961,36583.25,47432.348,39644.438,37327.941,43699.594,43752.43,42261.648,32928.969
2393.387,43151.242,42214.305,37146.82,48007.207,39046.266,37335.344,46078.816,45311.793,47935.648,33328.73
2403.444,42610.816,42326.879,37568.75,49518.285,38523.5,37677.77,45001.918,44497.402,42253.051,31667
2413.5,42218.465,41812.98,37839.75,47656.762,39703.734,37451.102,45945.102,44415.945,39562.551,33101.508
2423.556,42357.891,42921.695,38153.91,44464.871,38297.094,37507.73,45455.879,44442.305,43856.75,32644.365
2433.612,42010.016,42974.43,36238.34,45228.684,39838.453,36270.973,44526.715,44562.027,40131.699,32132.381
2443.669,42077.602,41626.488,38021.555,46361.969,39337.25,36672.613,44350.672,43522.457,39407.301,32222.793
2453.725,41111.824,40151.734,36814.18,46090.969,37655.797,36768.613,47733.102,43120.141,38743.301,32559.461
2463.781,41445.242,40633.898,37257.68,45223.176,36507.828,36502.543,45220.082,45594.457,39312.449,31546.635
2473.837,41221.09,40236.223,37088.34,45641.969,37650.375,36958.398,44297.879,43716.473,37268.852,33065.938
2483.894,40925.016,41608.879,36598.625,45592.746,37785.078,36938.656,46047.121,43486.625,38131.102,32296.604
2493.95,41948.316,40781.777,36709.555,45871.938,38324.031,36899.301,46177.406,44650.695,41752.898,32518.396
2504.006,42444.082,42069.918,35412.93,44191.145,36281.438,36145.398,44315.531,43544.016,40726.801,32105.031
2514.062,42947.176,42059.406,35831.75,44423.871,35607.703,35948.242,43432.062,41783.484,39502.25,33676.398
2524.119,45755.367,44748.367,37962.91,46827.363,37461.719,36906.602,45336.203,43680.582,41364.75,31513.682
2534.175,46586.16,44892.715,36906.66,46591.938,36653.297,35903.871,43784,42466.18,39096.949,33117.922
