sec,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9,D4_10
2322.994,23210.488,23671.65,24740.334,25702.459,18518.379,41407.715,23577.404,26148.191,35161.465,35498.453
2333.05,22699.699,23906.213,24357.4,25790.209,18374.76,41703.316,23484.762,26558.213,35392.477,35142.312
2343.106,22771.213,23500.537,25085.033,25609.979,18456.5,42070.223,23223.215,26977.506,35936.168,35446.922
2353.162,23344.363,23359.213,24567.867,25714.854,18484.879,42057.809,23254.904,26403.777,35202.941,35342.547
2363.219,22918.812,23582.938,25617.4,25454.646,18263.676,41642.363,23785.523,26780.576,35558.094,35498.406
2373.275,23068.15,23379.287,25290.934,25304.854,18293.352,41352.492,23270.143,26763,35128.797,35403.953
2383.331,22741.488,23458.775,24694.467,25911.291,18252.703,41455.699,23751.715,26804.615,34992,35920.375
2393.387,22833.637,23394.787,26085.834,25823.562,18597.648,41349.602,22482.262,26375.131,35093.895,35667.891
2403.444,22827.238,24070.9,25539.666,26219.209,18615.379,42204.652,22897.404,26009.061,35118.918,35770.109
2413.5,23248.301,24022.338,26901.867,26364.188,18576.436,43015.348,23032.572,25943.414,34479.355,35033.578
2423.556,23211.713,23668.787,25869.166,26206.834,18440.416,41098.27,22620.619,26086.232,34581.227,35014.312
2433.612,23171.074,23198.613,25949.934,26046.688,18395.945,41513.746,23268.023,26394.121,35356.441,35025.766
2443.669,22828.4,24251.75,26154.434,26566.334,18498.936,41310.383,23342.023,26226.283,34903.238,34949.922
2453.725,22862.738,23621.275,25921.066,26198.312,18560.74,40150.984,22283.023,26715.799,34928.785,34392.125
2463.781,23271.738,23644.775,26406.199,26695.875,18461.148,39954.078,22195.738,26713.555,34793.68,34069.688
2473.837,23063.537,23709.4,26905,26136.271,18639.129,40335.508,22336.215,25976.656,35276.453,34181.188
2483.894,23286.65,24104.725,27423.633,25464.166,18746.389,40367.445,21933.023,25895.252,35815.285,34561.625
2493.95,23492.012,23625.875,27455.633,26574.854,18284.861,39866.922,22281.738,26146.322,34799.191,34643.844
2504.006,23525.787,23900.475,26395.467,26032.312,18557.389,40435,22692.619,26269.303,34595.344,34767.594
2514.062,23271.15,23660.225,27551.834,26207.854,18582.379,40214.938,22842.904,25844.434,35919.355,34916.391
2524.119,23625.312,23399.912,27219.268,26796.104,18403.99,39416.523,22807.023,26337.707,34751.25,34512.281
2534.175,23633.85,23745.426,28250.467,26305.979,18535.361,40606.477,22589.023,25961.385,35409.344,34881.984
